기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,주야간명,제외여부,제외사유,1학년학급수(개),2학년학급수(개),3학년학급수(개),4학년학급수(개),5학년학급수(개),6학년학급수(개),특수학급수(개),순회학급수(개),합계사항
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,수리중학교,,공립,,N,,9,8,7,,,,1,0,25
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,용호중학교,,공립,,N,,8,6,6,,,,1,0,21
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,당동초등학교,,공립,,N,,5,6,6,6,6,6,1,0,36
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,당정초등학교,,공립,,N,,5,5,5,5,5,5,1,0,31
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,송안초등학교,,공립,,N,,6,5,4,3,2,3,1,0,24
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,한얼초등학교,,공립,,N,,2,2,3,2,3,3,0,0,15
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,부곡중앙초등학교,,공립,,N,,5,5,6,5,5,7,1,0,34
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,군포대야초등학교,,공립,,N,,2,3,2,3,2,2,1,0,15
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,부곡중앙중학교,,공립,,N,,8,6,5,,,,1,0,20
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,당동중학교,,공립,,N,,11,11,10,,,,1,0,33
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,당정중학교,,공립,,N,,4,4,4,,,,1,0,13
2020,군포시,경기도교육청,경기도 군포시,군포고등학교,,사립,,N,,11,11,11,,,,0,0,33
2020,군포시,경기도교육청,경기도 군포시,군포e비즈니스고등학교,,공립,,N,,12,12,12,,,,2,1,39
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,흥진중학교,,공립,,N,,6,6,6,,,,1,0,19
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,곡란초등학교,,공립,,N,,3,3,2,3,2,3,0,0,16
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,관모초등학교,,공립,,N,,2,2,2,2,2,2,1,0,13
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,광정초등학교,,공립,,N,,4,4,4,4,3,4,1,0,24
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,군포양정초등학교,,공립,,N,,6,5,6,5,5,6,2,0,35
2020,군포시,경기도군포의왕교육지원청,경기도 군포시,군포옥천초등학교,,공립,,N,,2,2,2,2,2,2,0,0,12
